,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,Description,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,Total,,,,,,"1,109",,,"1,210",,,"2,319",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Race/Ethn,,"U.S.
Nonresident",,,Black/African American,,,American Indian/Alaska Native,,Asian,,Hispanic/ Latino,,,White,,,Unknown,,,"Native Hawaiian or Other
Pacific",,Two or More Races,,,Total,,,,,,,,,,,,,,
School,Program Name,,Degree_,Degreecde,,OHEcde,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,Advanced Detective Certificate,,Post-BA-Cert,OCP,,19979,430114,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,
CLASS,Anthropology,,Bachelors,BA,,00103,450201,,,,,1,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,
CLASS,Applied Linguistics,,Master's,MA,,00070,131401,,,,,,,,,,,,1,,,3,,,1,,,,,,,,5,,,,,,,,,,,,,,
CLASS,Art,,Bachelors,BA,,02519,500701,,,,,,,,,,1,,5,,,2,,,1,,,,,,,,9,,,,,,,,,,,,,,
CLASS,Art Education,,Bachelors,BS_Teach,,00054,131302,,,,,1,,,,,1,,2,,,3,,,,,,,,,,,7,,,,,,,,,,,,,,
CLASS,Art Education,,Master's,MS,,00055,131302,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,
CLASS,Art Education,,Post-BA-Cert,GRADCERT,,10167,131302,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,Criminal Justice,,Master's,MS,,02965,430104,,,,,5,,,,,,,2,,,11,,,,,,,,1,,,19,,,,,,,,,,,,,,
CLASS,Criminology,,Bachelors,BA,,03127,450401,,2,,,12,,,1,,1,,25,,,55,,,1,,,,,8,,,105,,,,,,,,,,,,,,
CLASS,Cultural Resource Management,,Cert-Below Bachelors,C1,,22215,301202,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CLASS,Cultural Resource Management,,Post-BA-Cert,OCP,,22214,301202,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CLASS,Detective Certificate,,Cert-Below Bachelors,C1,,19982,430114,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,Economics,,Bachelors,BA,,00104,450601,,,,,1,,,,,3,,7,,,12,,,,,,,,,,,23,,,,,,,,,,,,,,
CLASS,English,,Bachelors,BA,,00079,230101,,,,,,,,,,4,,3,,,10,,,,,,,,1,,,18,,,,,,,,,,,,,,
CLASS,English,,Bachelors,BS_Teach,,00079,230101,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,
CLASS,English,,Master's,MA,,00080,230101,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,
CLASS,French,,Bachelors,BA,,00073,160901,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CLASS,"French, German, Italian & Spanish",,Post-BA-Cert,GRADCERT,,10171,131306,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CLASS,General Studies,,Bachelors,BGS,,20405,240102,,,,,9,,,,,,,10,,,14,,,1,,,,,1,,,35,,,,,,,,,,,,,,
CLASS,Geography,,Bachelors,BA,,00105,450701,,,,,1,,,,,,,,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,
CLASS,Geography,,Master's,MS,,00106,450701,,,,,,,,,,,,,,,2,,,,,,,,1,,,3,,,,,,,,,,,,,,
CLASS,Gerontology,,Cert-Below Bachelors,C1,,20603,190702,,,,,1,,,,,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,,
CLASS,Graphic/Information Design,,Bachelors,BA,,07020,500401,,1,,,3,,,,,,,9,,,22,,,,,,,,1,,,36,,,,,,,,,,,,,,
CLASS,History,,Bachelors,BA,,00107,540101,,1,,,,,,,,2,,2,,,13,,,,,,,,3,,,21,,,,,,,,,,,,,,
CLASS,History,,Bachelors,BS_Teach,,00107,540101,,,,,1,,,,,,,1,,,14,,,1,,,,,,,,17,,,,,,,,,,,,,,
CLASS,History,,Master's,MA,,00108,540101,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,History,,Post-BA-Cert,GRADCERT,,10172,540101,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,Information Design,,Master's,MA,,06297,500401,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,International Studies,,Bachelors,BA,,02693,302001,,,,,,,,,,1,,3,,,4,,,,,,,,,,,8,,,,,,,,,,,,,,
CLASS,International Studies,,Master's,MS,,00035,302001,,,,,3,,,,,,,2,,,2,,,,,,,,,,,7,,,,,,,,,,,,,,
CLASS,Italian,,Bachelors,BS_Teach,,00075,160902,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CLASS,Journalism,,Bachelors,BA,,15031,090401,,,,,2,,,,,,,3,,,2,,,,,,,,2,,,9,,,,,,,,,,,,,,
CLASS,Media Studies,,Bachelors,BA,,18099,090102,,,,,2,,,,,,,6,,,10,,,2,,,,,,,,20,,,,,,,,,,,,,,
CLASS,Music,,Bachelors,BA,,02608,500901,,,,,1,,,,,,,,,,3,,,,,,,,1,,,5,,,,,,,,,,,,,,
CLASS,Music Education,,Bachelors,BS_Teach,,00062,131312,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,Music Education,,Master's,MS,,00063,131312,,,,,1,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,Music Education,,Post-BA-Cert,GRADCERT,,10174,131312,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CLASS,Philosophy,,Bachelors,BA,,00088,380101,,,,,,,,,,1,,1,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,
CLASS,Political Science,,Bachelors,BA,,00109,451001,,1,,,5,,,,,,,7,,,15,,,1,,,,,,,,29,,,,,,,,,,,,,,
CLASS,Psychological Science,,Bachelors,BA,,00098,420101,,2,,,11,,,,,5,,23,,,74,,,1,,,,,7,,,123,,,,,,,,,,,,,,
CLASS,Psychology,,Master's,MA,,00099,420101,,,,,1,,,,,,,3,,,10,,,,,,,,,,,14,,,,,,,,,,,,,,
CLASS,Public History,,Master's,MA,,09702,540105,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,
CLASS,Public Relations/Promotions,,Post-BA-Cert,OCP,,14632,090902,,,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,
CLASS,Racial Justice,,Cert-Below Bachelors,C1,,20623,302301,,,,,,,,,,2,,4,,,6,,,1,,,,,1,,,14,,,,,,,,,,,,,,
CLASS,Sociology,,Bachelors,BA,,00110,451101,,,,,7,,,,,,,2,,,16,,,,,,,,4,,,29,,,,,,,,,,,,,,
CLASS,Spanish,,Bachelors,BA,,00076,160905,,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,Spanish,,Bachelors,BS_Teach,,00076,160905,,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,Special Studies,,Bachelors,BA,,00087,309999,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CLASS,Strategic Communication,,Bachelors,BA,,18107,090900,,,,,4,,,,,2,,6,,,24,,,2,,,,,1,,,39,,,,,,,,,,,,,,
CLASS,Strategic Communication,,Master's,MS,,02522,090901,,1,,,3,,,,,,,1,,,6,,,,,,,,1,,,12,,,,,,,,,,,,,,
CLASS,TESOL,,Post-BA-Cert,GRADCERT,,10609,131401,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
CLASS,TESOL,,Post-BA-Cert,OCP,,15703,131401,,,,,,,,,,,,2,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,
CLASS,Theatre,,Bachelors,BA,,00111,500501,,,,,,,,,,1,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Race/Ethn,,"U.S.
Nonresident",,,Black/African American,,,American Indian/Alaska Native,,Asian,,Hispanic/ Latino,,,White,,,Unknown,,,"Native Hawaiian or Other
Pacific",,Two or More Races,,,Total,,,,,,,,,,,,,,
School,Program Name,,Degree_,Degreecde,,OHEcde,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,Theatre,,Bachelors,BFA,,00111,500501,,,,,1,,,,,,,3,,,4,,,,,,,,,,,8,,,,,,,,,,,,,,
CLASS,Tourism & Hospitality Studies,,Bachelors,BS,,04091,520901,,,,,,,,,,,,1,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,
CLASS,World Languages,,Master's,MA,,00074,160101,,,,,,,,,,,,6,,,1,,,,,,,,,,,7,,,,,,,,,,,,,,
CLASS,Total,,Total,Total,,Total,Total,,8,,,77,,,1,,26,,142,,,403,,,12,,,0,,34,,,703,,,,,,,,,,,,,,
BS,Accounting,,Bachelors,BS,,00036,520301,,3,,,8,,,,,2,,10,,,34,,,1,,,,,2,,,60,,,,,,,,,,,,,,
BS,Accounting,,Master's,MS,,18549,520301,,2,,,6,,,,,2,,4,,,19,,,,,,,,,,,33,,,,,,,,,,,,,,
BS,Accounting Analytics,,Post-BA-Cert,OCP,,20602,307199,,1,,,1,,,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,,,,,,
BS,Business,,Bachelors,BS,,21384,520101,,,,,,,,,,,,,,,6,,,,,,,,,,,6,,,,,,,,,,,,,,
BS,Business Administration (MBA),,Master's,MBA,,02816,520305,,1,,,12,,,,,9,,16,,,34,,,,,,,,2,,,74,,,,,,,,,,,,,,
BS,Business Analytics,,Post-BA-Cert,OCP,,22039,307102,,,,,1,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
BS,Business Leadership,,Post-BA-Cert,OCP,,19978,520213,,,,,4,,,,,2,,4,,,8,,,,,,,,1,,,19,,,,,,,,,,,,,,
BS,Commercial Lending,,Post-BA-Cert,OCP,,20237,520809,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
BS,Finance,,Bachelors,BS,,02650,520801,,2,,,5,,,,,5,,8,,,57,,,,,,,,1,,,78,,,,,,,,,,,,,,
BS,General Studies,,Bachelors,BGS,,20405,240102,,2,,,1,,,,,1,,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,
BS,Management,,Bachelors,BS,,00037,520201,,1,,,7,,,,,1,,14,,,49,,,2,,,,,2,,,76,,,,,,,,,,,,,,
BS,Management Information Systems,,Bachelors,BS,,02380,110401,,1,,,7,,,,,9,,7,,,12,,,,,,,,1,,,37,,,,,,,,,,,,,,
BS,Marketing,,Bachelors,BS,,00039,521401,,1,,,4,,,,,1,,10,,,39,,,,,,,,,,,55,,,,,,,,,,,,,,
BS,Project Management,,Cert-Below Bachelors,BS,,22272,111005,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
BS,Total,,Total,Total,,Total,Total,,14,,,56,,,,,33,,74,,,266,,,3,,,0,,9,,,455,,,,,,,,,,,,,,
ED,Early Childhood and Infant/Toddler Mental Health,,Bachelors,BS,,19028,131210,,1,,,3,,,,,1,,2,,,7,,,,,,,,,,,14,,,,,,,,,,,,,,
ED,Educational Leadership,,Doctoral,ED.D,,09981,130401,,1,,,5,,,,,,,1,,,12,,,,,,,,,,,19,,,,,,,,,,,,,,
ED,Educational Leadership,,Post-MA-Cert,SYC,,02597,130401,,,,,7,,,,,2,,10,,,71,,,,,,,,2,,,92,,,,,,,,,,,,,,
ED,Educational Technology,,Master's,MS,,00045,130501,,,,,,,,,,,,,,,7,,,,,,,,1,,,8,,,,,,,,,,,,,,
ED,Elementary Education,,Bachelors,BS_Teach,,00050,131202,,,,,2,,,,,3,,5,,,34,,,1,,,,,1,,,46,,,,,,,,,,,,,,
ED,Elementary Education,,Post-BA-Cert,GRADCERT,,10181,131202,,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
ED,General Studies,,Bachelors,BGS,,20405,240102,,,,,1,,,,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Master's,MS,,00066,131315,,,,,1,,,,,,,1,,,16,,,,,,,,,,,18,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Post-MA-Cert,SYC,,00067,131315,,,,,,,,,,,,,,,14,,,,,,,,,,,14,,,,,,,,,,,,,,
ED,Special Education,,Master's,MS,,00048,131001,,,,,,,,,,1,,6,,,23,,,1,,,,,,,,31,,,,,,,,,,,,,,
ED,Superintendent of Schools,,Post-MA-Cert,PM CERT,,14633,130411,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
ED,Teacher Education,,Master's,MAT,,14255,130101,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
ED,Teacher Leadership,,Master's,MS,,05642,130401,,,,,2,,,,,1,,1,,,5,,,,,,,,,,,9,,,,,,,,,,,,,,
ED,Total,,Total,Total,,Total,Total,,2,,,21,,,,,8,,27,,,195,,,2,,,0,,5,,,260,,,,,,,,,,,,,,
CHRS,Athletic Training,,Master's,MS,,19546,510913,,,,,,,,,,,,1,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,
CHRS,Counselor Education,,Master's,MS,,00049,131101,,1,,,5,,,,,,,14,,,21,,,,,,,,3,,,44,,,,,,,,,,,,,,
CHRS,Dance Education,,Bachelors,BS,,18177,131324,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,
CHRS,Dance Education,,Bachelors,BS_Teach,,18177,131324,,,,,,,,,,,,2,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,
CHRS,Exercise Science,,Bachelors,BS,,17363,310505,,,,,2,,,,,1,,5,,,26,,,2,,,,,1,,,37,,,,,,,,,,,,,,
CHRS,General Studies,,Bachelors,BGS,,20405,240102,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
CHRS,Marriage & Family Therapy,,Master's,MS,,06159,511505,,,,,3,,,,,1,,1,,,7,,,,,,,,2,,,14,,,,,,,,,,,,,,
CHRS,Nurse Anesthesia Practice,,Doctoral,DNAP,,18266,513804,,,,,1,,,,,3,,4,,,23,,,,,,,,1,,,32,,,,,,,,,,,,,,
CHRS,Nursing,,Bachelors,BSN,,14729,513801,,,,,5,,,,,3,,4,,,35,,,,,,,,2,,,49,,,,,,,,,,,,,,
CHRS,Nursing (RN to BSN),,Bachelors,BSN,,00078,513801,,,,,4,,,,,1,,3,,,5,,,,,,,,,,,13,,,,,,,,,,,,,,
CHRS,Nursing: Hospice and Palliative Care,,Master's,MSN,,19027,513818,,,,,,,,,,,,1,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,
CHRS,Physical Education,,Bachelors,BS_Teach,,00064,131314,,,,,,,,,,1,,1,,,11,,,,,,,,1,,,14,,,,,,,,,,,,,,
CHRS,Physical Education,,Master's,MS,,00065,131314,,,,,1,,,,,,,2,,,9,,,,,,,,,,,12,,,,,,,,,,,,,,
CHRS,Physical Education,,Post-BA-Cert,GRADCERT,,10178,131314,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,
CHRS,Professional Counseling,,Post-MA-Cert,PM CERT,,14631,422803,,,,,5,,,,,,,4,,,5,,,,,,,,,,,14,,,,,,,,,,,,,,
CHRS,Social Work,,Bachelors,BA,,02556,440701,,,,,5,,,,,,,14,,,15,,,,,,,,,,,34,,,,,,,,,,,,,,
CHRS,Social Work,,Master's,MSW,,22267,511503,,,,,1,,,,,1,,2,,,6,,,,,,,,,,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Race/Ethn,,"U.S.
Nonresident",,,Black/African American,,,American Indian/Alaska Native,,Asian,,Hispanic/ Latino,,,White,,,Unknown,,,"Native Hawaiian or Other
Pacific",,Two or More Races,,,Total,,,,,,,,,,,,,,
School,Program Name,,Degree_,Degreecde,,OHEcde,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRS,Total,,Total,Total,,Total,Total,,1,,,32,,,,,11,,58,,,179,,,2,,,0,,10,,,293,,,,,,,,,,,,,,
SEST,Biochemistry,,Bachelors,BS,,13670,260202,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
SEST,Biological Sciences,,Master's,MA,,00083,260101,,,,,,,,,,1,,1,,,3,,,,,,,,,,,5,,,,,,,,,,,,,,
SEST,Biological Sciences,,Master's,MS,,00083,260101,,,,,,,,,,2,,,,,5,,,,,,,,,,,7,,,,,,,,,,,,,,
SEST,Biology,,Bachelors,BS,,00082,260101,,4,,,10,,,,,3,,10,,,23,,,,,,,,3,,,53,,,,,,,,,,,,,,
SEST,Biomolecular Sciences,,Bachelors,BS,,13445,260204,,,,,4,,,,,1,,3,,,11,,,,,,,,,,,19,,,,,,,,,,,,,,
SEST,Biomolecular Sciences,,Master's,MS,,13446,260204,,1,,,2,,,,,,,3,,,11,,,,,,,,,,,17,,,,,,,,,,,,,,
SEST,Chemistry,,Bachelors,BS,,00090,400501,,,,,1,,,,,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,,
SEST,Chemistry,,Bachelors,BS_Teach,,00090,400501,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
SEST,Civil Engineering,,Bachelors,BS,,15032,140801,,,,,,,,,,1,,2,,,12,,,1,,,,,,,,16,,,,,,,,,,,,,,
SEST,Computer Engineering Technology,,Bachelors,BS,,13269,151201,,,,,2,,,,,2,,1,,,6,,,,,,,,,,,11,,,,,,,,,,,,,,
SEST,Computer Information Technology,,Master's,MS,,06901,110103,,6,,,,,,,,2,,1,,,1,,,,,,,,,,,10,,,,,,,,,,,,,,
SEST,Computer Science,,Bachelors,BA,,22357,110101,,,,,1,,,,,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,,
SEST,Computer Science,,Bachelors,BS,,00043,110101,,2,,,1,,,,,22,,15,,,47,,,1,,,,,5,,,93,,,,,,,,,,,,,,
SEST,Construction Management,,Bachelors,BS,,10186,522001,,1,,,4,,,1,,1,,6,,,22,,,,,,,,1,,,36,,,,,,,,,,,,,,
SEST,Construction Management,,Master's,MS,,14421,522001,,,,,3,,,,,,,1,,,6,,,,,,,,,,,10,,,,,,,,,,,,,,
SEST,Construction Management,,Post-BA-Cert,OCP,,14628,522001,,,,,,,,,,1,,1,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,
SEST,Cybersecurity,,Bachelors,BS,,19464,111003,,,,,3,,,,,2,,4,,,9,,,,,,,,1,,,19,,,,,,,,,,,,,,
SEST,Data Science,,Master's,MS,,09328,303001,,1,,,3,,,,,1,,1,,,11,,,,,,,,,,,17,,,,,,,,,,,,,,
SEST,Data Science,,Post-BA-Cert,OCP,,09289,303001,,,,,1,,,,,3,,2,,,7,,,,,,,,,,,13,,,,,,,,,,,,,,
SEST,Earth Science,,Bachelors,BS,,00092,400601,,,,,,,,,,,,2,,,7,,,,,,,,,,,9,,,,,,,,,,,,,,
SEST,Electrical Engineering,,Bachelors,BS,,19943,141001,,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
SEST,Electronics Technology,,Bachelors,BS,,09933,150303,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,
SEST,Environmental and Occupational Safety,,Post-BA-Cert,OCP,,14629,512202,,,,,2,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,
SEST,General Studies,,Bachelors,BGS,,20405,240102,,,,,1,,,,,1,,3,,,6,,,1,,,,,1,,,13,,,,,,,,,,,,,,
SEST,Graphics Technology,,Bachelors,BS,,17362,110801,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SEST,Lean Manufact. and Six Sigma,,Post-BA-Cert,OCP,,14630,150702,,,,,1,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,
SEST,Manufacturing Engineering Technology,,Bachelors,BS,,02365,150613,,,,,3,,,,,1,,2,,,8,,,,,,,,,,,14,,,,,,,,,,,,,,
SEST,Manufacturing Management,,Bachelors,BS,,18000,520205,,,,,1,,,,,2,,2,,,6,,,1,,,,,,,,12,,,,,,,,,,,,,,
SEST,Mathematics,,Bachelors,BA,,00084,270101,,,,,4,,,,,1,,3,,,11,,,,,,,,,,,19,,,,,,,,,,,,,,
SEST,Mathematics,,Bachelors,BS_Teach,,00084,270101,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,
SEST,Mathematics,,Master's,MA,,00085,270101,,1,,,,,,,,,,1,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,
SEST,Mathematics,,Master's,MS,,00085,270101,,,,,,,,,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,,,,
SEST,Mathematics,,Post-BA-Cert,GRADCERT,,10606,270101,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
SEST,Mechanical Engineering,,Bachelors,BS,,14202,141901,,4,,,5,,,,,3,,4,,,30,,,,,,,,,,,46,,,,,,,,,,,,,,
SEST,Mechanical Engineering,,Master's,MS,,19967,141901,,,,,,,,,,1,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,
SEST,Mechanical Engineering Technology,,Bachelors,BS,,02813,150805,,1,,,3,,,,,5,,6,,,13,,,1,,,,,,,,29,,,,,,,,,,,,,,
SEST,Networking Information Technology,,Bachelors,BS,,17364,111001,,,,,2,,,,,1,,3,,,9,,,,,,,,,,,15,,,,,,,,,,,,,,
SEST,Physics,,Bachelors,BS,,00094,400801,,,,,1,,,,,1,,2,,,2,,,,,,,,1,,,7,,,,,,,,,,,,,,
SEST,Physics,,Bachelors,BS_Teach,,00094,400801,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
SEST,Pre-Health Studies,,Post-BA-Cert,OCP,,10169,511199,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SEST,Robotics/Mechatronics Engineering Technology,,Bachelors,BS,,16962,150405,,,,,,,,,,,,3,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,
SEST,"Science, Technology, Engineering and Math Education",,Master's,MS,,17396,131309,,,,,,,,,,,,3,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,
SEST,Software Engineering,,Master's,MS,,18966,140903,,,,,,,,,,1,,,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,
SEST,Supply Chain and Logistics,,Post-BA-Cert,OCP,,14634,520203,,,,,1,,,,,,,1,,,5,,,,,,,,,,,7,,,,,,,,,,,,,,
SEST,Supply Chain Logistics Management,,Master's,MS,,19544,521301,,1,,,2,,,,,,,1,,,8,,,,,,,,,,,12,,,,,,,,,,,,,,
SEST,Technology and Engineering Ed K-12,,Bachelors,BS_Teach,,00058,131309,,,,,,,,,,1,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,,
SEST,Technology and Engineering Ed K-12,,Post-BA-Cert,GRADCERT,,10185,131309,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SEST,Technology Management,,Bachelors,BS,,00071,150612,,,,,2,,,,,2,,4,,,3,,,1,,,,,,,,12,,,,,,,,,,,,,,
SEST,Technology Management,,Master's,MS,,00040,151501,,1,,,4,,,,,1,,3,,,5,,,,,,,,,,,14,,,,,,,,,,,,,,
SEST,Total,,Total,Total,,Total,Total,,23,,,69,,,1,,64,,96,,,337,,,6,,,0,,12,,,608,,,,,,,,,,,,,,
University Total,,,,,,,Total,,48,,,255,,,2,,142,,397,,,1380,,,25,,,0,,70,,,2319,,,,,,,,,,,,,,
,,,,,,,Race,"U.S.
Nonresident",,,Black/African American,,,American Indian/Alaska Native,,Asian,,Hispanic/ Latino,,White,,,Unknown,,,,Native Hawaiian or Other Pacific Islander,,Two or More Races,,Total All Students,,,,,,,,,,,,,,,,
,,,,,,,Gender,M,,W,M,,W,M,W,M,W,M,W,M,W,,M,W,,,M,W,M,W,M,,W,All,,,,,,,,,,,,,
