,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,Description,,,,,,,,,,,,
School,Program Name,,Degree_,Degreecde,,OHEcde,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,Advanced Detective Certificate,,Post-BA-Cert,OCP,,19979,430114,,,,,,,,,,,,,2,2,,,,,,,,,,2,,2,4,,,,,,,,,,,,,
CLASS,Anthropology,,Bachelors,BA,,00103,450201,,,,1,,,,,,,,,4,1,,,,,,,,,,5,,1,6,,,,,,,,,,,,,
CLASS,Applied Linguistics,,Master's,MA,,00070,131401,,,,,,,,,,,,1,,3,,1,,,,,,,,1,,4,5,,,,,,,,,,,,,
CLASS,Art,,Bachelors,BA,,02519,500701,,,,,,,,,,1,3,2,,2,,,1,,,,,,,3,,6,9,,,,,,,,,,,,,
CLASS,Art Education,,Bachelors,BS_Teach,,00054,131302,,,,,,1,,,,1,,2,,3,,,,,,,,,,0,,7,7,,,,,,,,,,,,,
CLASS,Art Education,,Master's,MS,,00055,131302,,,,,,,,,,,,,,4,,,,,,,,,,0,,4,4,,,,,,,,,,,,,
CLASS,Art Education,,Post-BA-Cert,GRADCERT,,10167,131302,,,,,,,,,,,,,,2,,,,,,,,,,0,,2,2,,,,,,,,,,,,,
CLASS,Criminal Justice,,Master's,MS,,02965,430104,,,,1,,4,,,,,1,1,3,8,,,,,,,,,1,5,,14,19,,,,,,,,,,,,,
CLASS,Criminology,,Bachelors,BA,,03127,450401,,,2,3,,9,,1,1,,6,19,22,33,,,1,,,,,2,6,34,,71,105,,,,,,,,,,,,,
CLASS,Cultural Resource Management,,Cert-Below Bachelors,C1,,22215,301202,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
CLASS,Cultural Resource Management,,Post-BA-Cert,OCP,,22214,301202,,,,,,,,,,,,,,1,,,,,,,,,,0,,1,1,,,,,,,,,,,,,
CLASS,Detective Certificate,,Cert-Below Bachelors,C1,,19982,430114,,,,,,,,,,,,,1,1,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
CLASS,Economics,,Bachelors,BA,,00104,450601,,,,1,,,,,2,1,7,,8,4,,,,,,,,,,18,,5,23,,,,,,,,,,,,,
CLASS,English,,Bachelors,BA,,00079,230101,,,,,,,,,1,3,,3,3,7,,,,,,,,1,,5,,13,18,,,,,,,,,,,,,
CLASS,English,,Bachelors,BS_Teach,,00079,230101,,,,,,,,,,,,,3,2,,,,,,,,,,3,,2,5,,,,,,,,,,,,,
CLASS,English,,Master's,MA,,00080,230101,,,,,,,,,,,,,1,4,,,,,,,,,,1,,4,5,,,,,,,,,,,,,
CLASS,French,,Bachelors,BA,,00073,160901,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
CLASS,"French, German, Italian & Spanish",,Post-BA-Cert,GRADCERT,,10171,131306,,,,,,,,,,,,,,1,,,,,,,,,,0,,1,1,,,,,,,,,,,,,
CLASS,General Studies,,Bachelors,BGS,,20405,240102,,,,5,,4,,,,,4,6,4,10,,,1,,,,,1,,14,,21,35,,,,,,,,,,,,,
CLASS,Geography,,Bachelors,BA,,00105,450701,,,,1,,,,,,,,,4,2,,,,,,,,,,5,,2,7,,,,,,,,,,,,,
CLASS,Geography,,Master's,MS,,00106,450701,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,2,3,,,,,,,,,,,,,
CLASS,Gerontology,,Cert-Below Bachelors,C1,,20603,190702,,,,,,1,,,,,,,1,2,,,,,,,,,,1,,3,4,,,,,,,,,,,,,
CLASS,Graphic/Information Design,,Bachelors,BA,,07020,500401,1,,,1,,2,,,,,4,5,10,12,,,,,,,,1,,17,,19,36,,,,,,,,,,,,,
CLASS,History,,Bachelors,BA,,00107,540101,1,,,,,,,,2,,1,1,8,5,,,,,,,,3,,15,,6,21,,,,,,,,,,,,,
CLASS,History,,Bachelors,BS_Teach,,00107,540101,,,,,,1,,,,,1,,10,4,,,1,,,,,,,11,,6,17,,,,,,,,,,,,,
CLASS,History,,Master's,MA,,00108,540101,,,,,,,,,,,,,2,,,,,,,,,,,2,,0,2,,,,,,,,,,,,,
CLASS,History,,Post-BA-Cert,GRADCERT,,10172,540101,,,,,,,,,1,,,,1,,,,,,,,,,,2,,0,2,,,,,,,,,,,,,
CLASS,Information Design,,Master's,MA,,06297,500401,,,,,,,,,,,,,,2,,,,,,,,,,0,,2,2,,,,,,,,,,,,,
CLASS,International Studies,,Bachelors,BA,,02693,302001,,,,,,,,,,1,,3,1,3,,,,,,,,,,1,,7,8,,,,,,,,,,,,,
CLASS,International Studies,,Master's,MS,,00035,302001,,,,1,,2,,,,,2,,,2,,,,,,,,,,3,,4,7,,,,,,,,,,,,,
CLASS,Italian,,Bachelors,BS_Teach,,00075,160902,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
CLASS,Journalism,,Bachelors,BA,,15031,090401,,,,2,,,,,,,2,1,1,1,,,,,,,,,2,5,,4,9,,,,,,,,,,,,,
CLASS,Media Studies,,Bachelors,BA,,18099,090102,,,,2,,,,,,,2,4,9,1,,1,1,,,,,,,14,,6,20,,,,,,,,,,,,,
CLASS,Music,,Bachelors,BA,,02608,500901,,,,1,,,,,,,,,2,1,,,,,,,,1,,4,,1,5,,,,,,,,,,,,,
CLASS,Music Education,,Bachelors,BS_Teach,,00062,131312,,,,,,,,,,1,,,,1,,,,,,,,,,0,,2,2,,,,,,,,,,,,,
CLASS,Music Education,,Master's,MS,,00063,131312,,,,,,1,,,,,,,1,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
CLASS,Music Education,,Post-BA-Cert,GRADCERT,,10174,131312,,,,,,,,,,,,,,1,,,,,,,,,,0,,1,1,,,,,,,,,,,,,
CLASS,Philosophy,,Bachelors,BA,,00088,380101,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,,3,4,,,,,,,,,,,,,
CLASS,Political Science,,Bachelors,BA,,00109,451001,,,1,1,,4,,,,,3,4,11,4,,1,,,,,,,,16,,13,29,,,,,,,,,,,,,
CLASS,Psychological Science,,Bachelors,BA,,00098,420101,,,2,4,,7,,,,5,4,19,10,64,,,1,,,,,1,6,19,,104,123,,,,,,,,,,,,,
CLASS,Psychology,,Master's,MA,,00099,420101,,,,,,1,,,,,,3,2,8,,,,,,,,,,2,,12,14,,,,,,,,,,,,,
CLASS,Public History,,Master's,MA,,09702,540105,,,,,,,,,,,,,2,2,,,,,,,,,,2,,2,4,,,,,,,,,,,,,
CLASS,Public Relations/Promotions,,Post-BA-Cert,OCP,,14632,090902,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,2,,,,,,,,,,,,,
CLASS,Racial Justice,,Cert-Below Bachelors,C1,,20623,302301,,,,,,,,,,2,,4,1,5,,,1,,,,,,1,1,,13,14,,,,,,,,,,,,,
CLASS,Sociology,,Bachelors,BA,,00110,451101,,,,3,,4,,,,,,2,5,11,,,,,,,,1,3,9,,20,29,,,,,,,,,,,,,
CLASS,Spanish,,Bachelors,BA,,00076,160905,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
CLASS,Spanish,,Bachelors,BS_Teach,,00076,160905,,,,,,,,,,,1,,1,,,,,,,,,,,2,,0,2,,,,,,,,,,,,,
CLASS,Special Studies,,Bachelors,BA,,00087,309999,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
CLASS,Strategic Communication,,Bachelors,BA,,18107,090900,,,,3,,1,,,,2,4,2,11,13,,1,1,,,,,,1,19,,20,39,,,,,,,,,,,,,
CLASS,Strategic Communication,,Master's,MS,,02522,090901,1,,,,,3,,,,,1,,4,2,,,,,,,,,1,6,,6,12,,,,,,,,,,,,,
CLASS,TESOL,,Post-BA-Cert,GRADCERT,,10609,131401,,,,,,,,,,,,,,2,,,,,,,,,,0,,2,2,,,,,,,,,,,,,
CLASS,TESOL,,Post-BA-Cert,OCP,,15703,131401,,,,,,,,,,,,2,,1,,,,,,,,,,0,,3,3,,,,,,,,,,,,,
CLASS,Theatre,,Bachelors,BA,,00111,500501,,,,,,,,,1,,,,2,,,,,,,,,,,3,,0,3,,,,,,,,,,,,,
CLASS,Theatre,,Bachelors,BFA,,00111,500501,,,,,,1,,,,,1,2,3,1,,,,,,,,,,4,,4,8,,,,,,,,,,,,,
CLASS,Tourism & Hospitality Studies,,Bachelors,BS,,04091,520901,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,2,3,,,,,,,,,,,,,
CLASS,World Languages,,Master's,MA,,00074,160101,,,,,,,,,,,2,4,,1,,,,,,,,,,2,,5,7,,,,,,,,,,,,,
CLASS,Total,,Total,Total,,Total,Total,3,,5,30,,47,0,1,8,18,50,92,160,243,,4,8,,,0,0,12,22,267,,436,703,,,,,,,,,,,,,
,,,,,,,Race,"U.S.
Nonresident",,,Black/African American,,,American Indian/Alaska Native,,Asian,,Hispanic/ Latino,,White,,,Unknown,,,,Native Hawaiian or Other Pacific Islander,,Two or More Races,,Total All Students,,,,,,,,,,,,,,,,
,,,,,,,Gender,M,,W,M,,W,M,W,M,W,M,W,M,W,,M,W,,,M,W,M,W,M,,W,All,,,,,,,,,,,,,
School,Program Name,,Degree_,Degreecde,,OHEcde,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,Accounting,,Bachelors,BS,,00036,520301,1,,2,5,,3,,,1,1,9,1,23,11,,1,,,,,,1,1,41,,19,60,,,,,,,,,,,,,
BS,Accounting,,Master's,MS,,18549,520301,2,,,1,,5,,,1,1,3,1,14,5,,,,,,,,,,21,,12,33,,,,,,,,,,,,,
BS,Accounting Analytics,,Post-BA-Cert,OCP,,20602,307199,1,,,,,1,,,,,,,2,2,,,,,,,,,,3,,3,6,,,,,,,,,,,,,
BS,Business,,Bachelors,BS,,21384,520101,,,,,,,,,,,,,4,2,,,,,,,,,,4,,2,6,,,,,,,,,,,,,
BS,Business Administration (MBA),,Master's,MBA,,02816,520305,1,,,4,,8,,,4,5,8,8,18,16,,,,,,,,1,1,36,,38,74,,,,,,,,,,,,,
BS,Business Analytics,,Post-BA-Cert,OCP,,22039,307102,,,,,,1,,,,,,1,,,,,,,,,,,,0,,2,2,,,,,,,,,,,,,
BS,Business Leadership,,Post-BA-Cert,OCP,,19978,520213,,,,2,,2,,,,2,2,2,5,3,,,,,,,,1,,10,,9,19,,,,,,,,,,,,,
BS,Commercial Lending,,Post-BA-Cert,OCP,,20237,520809,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
BS,Finance,,Bachelors,BS,,02650,520801,1,,1,4,,1,,,4,1,7,1,48,9,,,,,,,,1,,65,,13,78,,,,,,,,,,,,,
BS,General Studies,,Bachelors,BGS,,20405,240102,,,2,,,1,,,1,,,,1,1,,,,,,,,,,2,,4,6,,,,,,,,,,,,,
BS,Management,,Bachelors,BS,,00037,520201,,,1,3,,4,,,1,,7,7,28,21,,2,,,,,,1,1,42,,34,76,,,,,,,,,,,,,
BS,Management Information Systems,,Bachelors,BS,,02380,110401,,,1,4,,3,,,7,2,4,3,9,3,,,,,,,,,1,24,,13,37,,,,,,,,,,,,,
BS,Marketing,,Bachelors,BS,,00039,521401,1,,,3,,1,,,,1,4,6,26,13,,,,,,,,,,34,,21,55,,,,,,,,,,,,,
BS,Project Management,,Cert-Below Bachelors,BS,,22272,111005,,,,,,,,,1,,,,,1,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
BS,Total,,Total,Total,,Total,Total,7,,7,26,,30,,,20,13,44,30,179,87,,3,,,,,,5,4,284,,171,455,,,,,,,,,,,,,
ED,Early Childhood and Infant/Toddler Mental Health,,Bachelors,BS,,19028,131210,,,1,,,3,,,,1,,2,,7,,,,,,,,,,0,,14,14,,,,,,,,,,,,,
ED,Educational Leadership,,Doctoral,ED.D,,09981,130401,,,1,1,,4,,,,,1,,1,11,,,,,,,,,,3,,16,19,,,,,,,,,,,,,
ED,Educational Leadership,,Post-MA-Cert,SYC,,02597,130401,,,,5,,2,,,,2,,10,14,57,,,,,,,,1,1,20,,72,92,,,,,,,,,,,,,
ED,Educational Technology,,Master's,MS,,00045,130501,,,,,,,,,,,,,2,5,,,,,,,,,1,2,,6,8,,,,,,,,,,,,,
ED,Elementary Education,,Bachelors,BS_Teach,,00050,131202,,,,,,2,,,,3,,5,5,29,,,1,,,,,,1,5,,41,46,,,,,,,,,,,,,
ED,Elementary Education,,Post-BA-Cert,GRADCERT,,10181,131202,,,,,,,,,,,,1,1,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
ED,General Studies,,Bachelors,BGS,,20405,240102,,,,1,,,,,,,,,,4,,,,,,,,,,1,,4,5,,,,,,,,,,,,,
ED,Reading and Language Arts,,Master's,MS,,00066,131315,,,,,,1,,,,,,1,,16,,,,,,,,,,0,,18,18,,,,,,,,,,,,,
ED,Reading and Language Arts,,Post-MA-Cert,SYC,,00067,131315,,,,,,,,,,,,,3,11,,,,,,,,,,3,,11,14,,,,,,,,,,,,,
ED,Special Education,,Master's,MS,,00048,131001,,,,,,,,,,1,3,3,5,18,,,1,,,,,,,8,,23,31,,,,,,,,,,,,,
ED,Superintendent of Schools,,Post-MA-Cert,PM CERT,,14633,130411,,,,,,,,,,,,,,1,,,,,,,,,,0,,1,1,,,,,,,,,,,,,
ED,Teacher Education,,Master's,MAT,,14255,130101,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,1,,,,,,,,,,,,,
ED,Teacher Leadership,,Master's,MS,,05642,130401,,,,1,,1,,,,1,,1,1,4,,,,,,,,,,2,,7,9,,,,,,,,,,,,,
ED,Total,,Total,Total,,Total,Total,0,,2,8,,13,0,0,0,8,4,23,32,163,,0,2,,,0,0,2,3,46,,214,260,,,,,,,,,,,,,
CHRS,Athletic Training,,Master's,MS,,19546,510913,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,2,3,,,,,,,,,,,,,
CHRS,Counselor Education,,Master's,MS,,00049,131101,1,,,1,,4,,,,,5,9,4,17,,,,,,,,2,1,13,,31,44,,,,,,,,,,,,,
CHRS,Dance Education,,Bachelors,BS,,18177,131324,,,,,,,,,,,,,,3,,,,,,,,,,0,,3,3,,,,,,,,,,,,,
CHRS,Dance Education,,Bachelors,BS_Teach,,18177,131324,,,,,,,,,,,,2,,1,,,,,,,,,,0,,3,3,,,,,,,,,,,,,
CHRS,Exercise Science,,Bachelors,BS,,17363,310505,,,,1,,1,,,1,,3,2,13,13,,2,,,,,,1,,21,,16,37,,,,,,,,,,,,,
CHRS,General Studies,,Bachelors,BGS,,20405,240102,,,,,,,,,,,,,2,,,,,,,,,,,2,,0,2,,,,,,,,,,,,,
CHRS,Marriage & Family Therapy,,Master's,MS,,06159,511505,,,,2,,1,,,,1,,1,1,6,,,,,,,,1,1,4,,10,14,,,,,,,,,,,,,
CHRS,Nurse Anesthesia Practice,,Doctoral,DNAP,,18266,513804,,,,,,1,,,2,1,,4,8,15,,,,,,,,,1,10,,22,32,,,,,,,,,,,,,
CHRS,Nursing,,Bachelors,BSN,,14729,513801,,,,,,5,,,1,2,1,3,9,26,,,,,,,,,2,11,,38,49,,,,,,,,,,,,,
CHRS,Nursing (RN to BSN),,Bachelors,BSN,,00078,513801,,,,,,4,,,,1,1,2,,5,,,,,,,,,,1,,12,13,,,,,,,,,,,,,
CHRS,Nursing: Hospice and Palliative Care,,Master's,MSN,,19027,513818,,,,,,,,,,,,1,1,3,,,,,,,,,,1,,4,5,,,,,,,,,,,,,
CHRS,Physical Education,,Bachelors,BS_Teach,,00064,131314,,,,,,,,,1,,1,,8,3,,,,,,,,1,,11,,3,14,,,,,,,,,,,,,
CHRS,Physical Education,,Master's,MS,,00065,131314,,,,1,,,,,,,2,,4,5,,,,,,,,,,7,,5,12,,,,,,,,,,,,,
CHRS,Physical Education,,Post-BA-Cert,GRADCERT,,10178,131314,,,,,,,,,,,,,2,2,,,,,,,,,,2,,2,4,,,,,,,,,,,,,
CHRS,Professional Counseling,,Post-MA-Cert,PM CERT,,14631,422803,,,,,,5,,,,,1,3,,5,,,,,,,,,,1,,13,14,,,,,,,,,,,,,
CHRS,Social Work,,Bachelors,BA,,02556,440701,,,,,,5,,,,,3,11,1,14,,,,,,,,,,4,,30,34,,,,,,,,,,,,,
CHRS,Social Work,,Master's,MSW,,22267,511503,,,,,,1,,,1,,2,,,6,,,,,,,,,,3,,7,10,,,,,,,,,,,,,
CHRS,Total,,Total,Total,,Total,Total,1,,0,5,,27,0,0,6,5,19,39,54,125,,2,0,,,0,0,5,5,92,,201,293,,,,,,,,,,,,,
,,,,,,,Race,"U.S.
Nonresident",,,Black/African American,,,American Indian/Alaska Native,,Asian,,Hispanic/ Latino,,White,,,Unknown,,,,Native Hawaiian or Other Pacific Islander,,Two or More Races,,Total All Students,,,,,,,,,,,,,,,,
,,,,,,,Gender,M,,W,M,,W,M,W,M,W,M,W,M,W,,M,W,,,M,W,M,W,M,,W,All,,,,,,,,,,,,,
School,Program Name,,Degree_,Degreecde,,OHEcde,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEST,Biochemistry,,Bachelors,BS,,13670,260202,,,,,,,,,,,,,2,,,,,,,,,,,2,,0,2,,,,,,,,,,,,,
SEST,Biological Sciences,,Master's,MA,,00083,260101,,,,,,,,,,1,,1,1,2,,,,,,,,,,1,,4,5,,,,,,,,,,,,,
SEST,Biological Sciences,,Master's,MS,,00083,260101,,,,,,,,,1,1,,,,5,,,,,,,,,,1,,6,7,,,,,,,,,,,,,
SEST,Biology,,Bachelors,BS,,00082,260101,1,,3,4,,6,,,,3,5,5,6,17,,,,,,,,1,2,17,,36,53,,,,,,,,,,,,,
SEST,Biomolecular Sciences,,Bachelors,BS,,13445,260204,,,,3,,1,,,1,,1,2,3,8,,,,,,,,,,8,,11,19,,,,,,,,,,,,,
SEST,Biomolecular Sciences,,Master's,MS,,13446,260204,,,1,1,,1,,,,,1,2,5,6,,,,,,,,,,7,,10,17,,,,,,,,,,,,,
SEST,Chemistry,,Bachelors,BS,,00090,400501,,,,,,1,,,,,,,3,,,,,,,,,,,3,,1,4,,,,,,,,,,,,,
SEST,Chemistry,,Bachelors,BS_Teach,,00090,400501,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
SEST,Civil Engineering,,Bachelors,BS,,15032,140801,,,,,,,,,1,,,2,12,,,,1,,,,,,,13,,3,16,,,,,,,,,,,,,
SEST,Computer Engineering Technology,,Bachelors,BS,,13269,151201,,,,1,,1,,,,2,1,,5,1,,,,,,,,,,7,,4,11,,,,,,,,,,,,,
SEST,Computer Information Technology,,Master's,MS,,06901,110103,4,,2,,,,,,2,,1,,1,,,,,,,,,,,8,,2,10,,,,,,,,,,,,,
SEST,Computer Science,,Bachelors,BA,,22357,110101,,,,1,,,,,,,,,3,,,,,,,,,,,4,,0,4,,,,,,,,,,,,,
SEST,Computer Science,,Bachelors,BS,,00043,110101,1,,1,1,,,,,15,7,14,1,39,8,,,1,,,,,5,,75,,18,93,,,,,,,,,,,,,
SEST,Construction Management,,Bachelors,BS,,10186,522001,1,,,3,,1,1,,1,,6,,19,3,,,,,,,,,1,31,,5,36,,,,,,,,,,,,,
SEST,Construction Management,,Master's,MS,,14421,522001,,,,2,,1,,,,,,1,6,,,,,,,,,,,8,,2,10,,,,,,,,,,,,,
SEST,Construction Management,,Post-BA-Cert,OCP,,14628,522001,,,,,,,,,1,,1,,1,,,,,,,,,,,3,,0,3,,,,,,,,,,,,,
SEST,Cybersecurity,,Bachelors,BS,,19464,111003,,,,3,,,,,2,,4,,9,,,,,,,,,1,,19,,0,19,,,,,,,,,,,,,
SEST,Data Science,,Master's,MS,,09328,303001,,,1,,,3,,,1,,1,,5,6,,,,,,,,,,7,,10,17,,,,,,,,,,,,,
SEST,Data Science,,Post-BA-Cert,OCP,,09289,303001,,,,,,1,,,2,1,1,1,3,4,,,,,,,,,,6,,7,13,,,,,,,,,,,,,
SEST,Earth Science,,Bachelors,BS,,00092,400601,,,,,,,,,,,1,1,5,2,,,,,,,,,,6,,3,9,,,,,,,,,,,,,
SEST,Electrical Engineering,,Bachelors,BS,,19943,141001,,,,,,,,,,,1,,1,,,,,,,,,,,2,,0,2,,,,,,,,,,,,,
SEST,Electronics Technology,,Bachelors,BS,,09933,150303,,,,,,,,,,,,,3,,,,,,,,,,,3,,0,3,,,,,,,,,,,,,
SEST,Environmental and Occupational Safety,,Post-BA-Cert,OCP,,14629,512202,,,,2,,,,,,,,,1,1,,,,,,,,,,3,,1,4,,,,,,,,,,,,,
SEST,General Studies,,Bachelors,BGS,,20405,240102,,,,1,,,,,,1,3,,3,3,,1,,,,,,,1,8,,5,13,,,,,,,,,,,,,
SEST,Graphics Technology,,Bachelors,BS,,17362,110801,,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
SEST,Lean Manufact. and Six Sigma,,Post-BA-Cert,OCP,,14630,150702,,,,1,,,,,,,,,3,2,,,,,,,,,,4,,2,6,,,,,,,,,,,,,
SEST,Manufacturing Engineering Technology,,Bachelors,BS,,02365,150613,,,,2,,1,,,1,,2,,6,2,,,,,,,,,,11,,3,14,,,,,,,,,,,,,
SEST,Manufacturing Management,,Bachelors,BS,,18000,520205,,,,1,,,,,2,,2,,6,,,1,,,,,,,,12,,0,12,,,,,,,,,,,,,
SEST,Mathematics,,Bachelors,BA,,00084,270101,,,,2,,2,,,,1,3,,7,4,,,,,,,,,,12,,7,19,,,,,,,,,,,,,
SEST,Mathematics,,Bachelors,BS_Teach,,00084,270101,,,,,,,,,,,,,3,1,,,,,,,,,,3,,1,4,,,,,,,,,,,,,
SEST,Mathematics,,Master's,MA,,00085,270101,,,1,,,,,,,,1,,1,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,
SEST,Mathematics,,Master's,MS,,00085,270101,,,,,,,,,,,,,3,4,,,,,,,,,,3,,4,7,,,,,,,,,,,,,
SEST,Mathematics,,Post-BA-Cert,GRADCERT,,10606,270101,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
SEST,Mechanical Engineering,,Bachelors,BS,,14202,141901,3,,1,3,,2,,,2,1,2,2,24,6,,,,,,,,,,34,,12,46,,,,,,,,,,,,,
SEST,Mechanical Engineering,,Master's,MS,,19967,141901,,,,,,,,,1,,,,2,,,,,,,,,,,3,,0,3,,,,,,,,,,,,,
SEST,Mechanical Engineering Technology,,Bachelors,BS,,02813,150805,1,,,3,,,,,4,1,5,1,13,,,1,,,,,,,,27,,2,29,,,,,,,,,,,,,
SEST,Networking Information Technology,,Bachelors,BS,,17364,111001,,,,1,,1,,,1,,3,,8,1,,,,,,,,,,13,,2,15,,,,,,,,,,,,,
SEST,Physics,,Bachelors,BS,,00094,400801,,,,1,,,,,1,,1,1,1,1,,,,,,,,1,,5,,2,7,,,,,,,,,,,,,
SEST,Physics,,Bachelors,BS_Teach,,00094,400801,,,,,,,,,,,,,1,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
SEST,Pre-Health Studies,,Post-BA-Cert,OCP,,10169,511199,,,,,,1,,,,,,,,,,,,,,,,,,0,,1,1,,,,,,,,,,,,,
SEST,Robotics/Mechatronics Engineering Technology,,Bachelors,BS,,16962,150405,,,,,,,,,,,3,,1,1,,,,,,,,,,4,,1,5,,,,,,,,,,,,,
SEST,"Science, Technology, Engineering and Math Education",,Master's,MS,,17396,131309,,,,,,,,,,,,3,2,,,,,,,,,,,2,,3,5,,,,,,,,,,,,,
SEST,Software Engineering,,Master's,MS,,18966,140903,,,,,,,,,1,,,,5,1,,,,,,,,,,6,,1,7,,,,,,,,,,,,,
SEST,Supply Chain and Logistics,,Post-BA-Cert,OCP,,14634,520203,,,,1,,,,,,,,1,2,3,,,,,,,,,,3,,4,7,,,,,,,,,,,,,
SEST,Supply Chain Logistics Management,,Master's,MS,,19544,521301,,,1,2,,,,,,,1,,5,3,,,,,,,,,,8,,4,12,,,,,,,,,,,,,
SEST,Technology and Engineering Ed K-12,,Bachelors,BS_Teach,,00058,131309,,,,,,,,,1,,,,3,,,,,,,,,,,4,,0,4,,,,,,,,,,,,,
SEST,Technology and Engineering Ed K-12,,Post-BA-Cert,GRADCERT,,10185,131309,,,,,,,,,,,,1,,,,,,,,,,,,0,,1,1,,,,,,,,,,,,,
SEST,Technology Management,,Bachelors,BS,,00071,150612,,,,1,,1,,,2,,2,2,2,1,,1,,,,,,,,8,,4,12,,,,,,,,,,,,,
SEST,Technology Management,,Master's,MS,,00040,151501,1,,,3,,1,,,1,,1,2,4,1,,,,,,,,,,10,,4,14,,,,,,,,,,,,,
SEST,Total,,Total,Total,,Total,Total,12,,11,43,,26,1,0,45,19,67,29,240,97,,4,2,,,0,0,8,4,420,,188,608,,,,,,,,,,,,,
University Total,,,Total,Total,,Total,Total,23,,25,112,,143,1,1,79,63,184,##,665,715,,13,12,,,0,0,32,38,1109,,1210,2319,,,,,,,,,,,,,
