,,,,,,Year,2020-21,2021-22,2022-23,2023-24,2024-25,,,Description,,,,,,,,,,,,,,,,
ED,Elementary Education,Earth Science (EL),Bachelors,BS_Teach,00050,131202,2,,1,4,3,,,,,,,,,,,,,,,,,,,
ED,Elementary Education,Total,Total,Total,Total,Total,63,35,56,48,48,,,,,,,,,,,,,,,,,,,
ED,General Studies,,Bachelors,BGS,20405,240102,,5,5,6,5,,,,,,,,,,,,,,,,,,,
ED,General Studies,Total,Total,Total,Total,Total,,5,5,6,5,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Master's,MS,00066,131315,18,12,16,17,18,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Post-MA-Cert,PM CERT,10607,131315,2,,3,,,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Post-MA-Cert,SYC,00067,131315,26,6,8,11,14,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,Total,Total,Total,Total,Total,46,18,27,28,32,,,,,,,,,,,,,,,,,,,
ED,Special Education,For Special Education Teachers,Master's,MS,00048,131001,4,4,2,,,,,,,,,,,,,,,,,,,,,
ED,Special Education,Inclusion & Transition (SPED),Master's,MS,00048,131001,2,2,7,1,3,,,,,,,,,,,,,,,,,,,
ED,Special Education,Initial Certification,Master's,MS,00048,131001,,,,,15,,,,,,,,,,,,,,,,,,,
ED,Special Education,Intl Crt or Tchr Sekng Crs End,Master's,MS,00048,131001,31,39,26,19,11,,,,,,,,,,,,,,,,,,,
ED,Special Education,Tchrs Seeking Cross-Endorsemnt,Master's,MS,00048,131001,,,,,2,,,,,,,,,,,,,,,,,,,
ED,Special Education,Techrs Seeking Cross-Endorsmnt,Master's,MS,00048,131001,2,2,,,,,,,,,,,,,,,,,,,,,,
ED,Special Education,Total,Total,Total,Total,Total,39,47,35,20,31,,,,,,,,,,,,,,,,,,,
ED,Superintendent of Schools,,Post-MA-Cert,PM CERT,14633,130411,11,17,1,20,1,,,,,,,,,,,,,,,,,,,
ED,Superintendent of Schools,Total,Total,Total,Total,Total,11,17,1,20,1,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,,Master's,MAT,14255,130101,1,,,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,English,Master's,MAT,14255,130101,3,2,2,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,History/Social Studies (MAT),Master's,MAT,14255,130101,5,4,4,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Mathematics,Master's,MAT,14255,130101,3,,,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Modern Language (MAT),Master's,MAT,14255,130101,2,,1,1,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Science,Master's,MAT,14255,130101,,3,3,1,1,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Special Education K-12 (MAT),Master's,MAT,14255,130101,7,,1,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Technology&Engineering Ed K-12,Master's,MAT,14255,130101,,1,,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Total,Total,Total,Total,Total,21,10,11,2,1,,,,,,,,,,,,,,,,,,,
ED,Teacher Leadership,,Master's,MS,05642,130401,11,17,14,15,9,,,,,,,,,,,,,,,,,,,
ED,Teacher Leadership,Total,Total,Total,Total,Total,11,17,14,15,9,,,,,,,,,,,,,,,,,,,
ED,Transition Specialist,,Post-BA-Cert,OCP,18965,131001,,2,2,,,,,,,,,,,,,,,,,,,,,
ED,Transition Specialist,Total,Total,Total,Total,Total,,2,2,,,,,,,,,,,,,,,,,,,,,
ED,Total,Total,Total,Total,Total,Total,312,269,289,294,260,,,,,,,,,,,,,,,,,,,
CHRS,Athletic Training,,Bachelors,BS,06923,510913,7,1,1,,,,,,,,,,,,,,,,,,,,,
CHRS,Athletic Training,,Master's,MS,19546,510913,,,1,2,3,,,,,,,,,,,,,,,,,,,
CHRS,Athletic Training,Total,Total,Total,Total,Total,7,1,2,2,3,,,,,,,,,,,,,,,,,,,
CHRS,Counselor Education,Clinical Professional Counslng,Master's,MS,00049,131101,19,17,17,10,16,,,,,,,,,,,,,,,,,,,
CHRS,Counselor Education,School,Master's,MS,00049,131101,22,20,14,10,6,,,,,,,,,,,,,,,,,,,
CHRS,Counselor Education,Student Development/Higher Ed,Master's,MS,00049,131101,20,22,17,13,22,,,,,,,,,,,,,,,,,,,
CHRS,Counselor Education,Total,Total,Total,Total,Total,61,59,48,33,44,,,,,,,,,,,,,,,,,,,
CHRS,Dance Education,,Bachelors,BS,18177,131324,2,,1,,3,,,,,,,,,,,,,,,,,,,
CHRS,Dance Education,,Bachelors,BS_Teach,18177,131324,2,,3,,3,,,,,,,,,,,,,,,,,,,
CHRS,Dance Education,Total,Total,Total,Total,Total,4,,4,,6,,,,,,,,,,,,,,,,,,,
CHRS,Exercise Science,,Bachelors,BS,17363,310505,60,31,47,40,29,,,,,,,,,,,,,,,,,,,
CHRS,Exercise Science,Clinical Exercise Physiology,Bachelors,BS,17363,310505,,,,1,3,,,,,,,,,,,,,,,,,,,
CHRS,Exercise Science,Health Sciences,Bachelors,BS,17363,310505,,,,,2,,,,,,,,,,,,,,,,,,,
CHRS,Exercise Science,Strength & Cond./Personal Fit.,Bachelors,BS,17363,310505,,,,,3,,,,,,,,,,,,,,,,,,,
CHRS,Exercise Science,Total,Total,Total,Total,Total,60,31,47,41,37,,,,,,,,,,,,,,,,,,,
CHRS,General Studies,,Bachelors,BGS,20405,240102,,,,,2,,,,,,,,,,,,,,,,,,,
CHRS,General Studies,Total,Total,Total,Total,Total,,,,,2,,,,,,,,,,,,,,,,,,,
CHRS,Marriage & Family Therapy,,Master's,MS,06159,511505,27,51,25,17,14,,,,,,,,,,,,,,,,,,,
CHRS,Marriage & Family Therapy,Total,Total,Total,Total,Total,27,51,25,17,14,,,,,,,,,,,,,,,,,,,
CHRS,Nurse Anesthesia Practice,Advanced Specialization (DNAP),Doctoral,DNAP,18266,513804,3,9,6,5,3,,,,,,,,,,,,,,,,,,,
CHRS,Nurse Anesthesia Practice,Entry Level Specialztn (DNAP),Doctoral,DNAP,18266,513804,20,20,19,21,29,,,,,,,,,,,,,,,,,,,
CHRS,Nurse Anesthesia Practice,Total,Total,Total,Total,Total,23,29,25,26,32,,,,,,,,,,,,,,,,,,,
CHRS,Nursing,,Bachelors,BSN,14729,513801,46,58,66,60,49,,,,,,,,,,,,,,,,,,,
CHRS,Nursing,Total,Total,Total,Total,Total,46,58,66,60,49,,,,,,,,,,,,,,,,,,,
CHRS,Nursing (RN to BSN),,Bachelors,BSN,00078,513801,17,6,16,8,13,,,,,,,,,,,,,,,,,,,
CHRS,Nursing (RN to BSN),Total,Total,Total,Total,Total,17,6,16,8,13,,,,,,,,,,,,,,,,,,,
CHRS,Nursing: Hospice and Palliative Care,,Master's,MSN,19027,513818,6,5,3,6,5,,,,,,,,,,,,,,,,,,,
CHRS,Nursing: Hospice and Palliative Care,Total,Total,Total,Total,Total,6,5,3,6,5,,,,,,,,,,,,,,,,,,,
CHRS,Physical Education,,Bachelors,BS_Teach,00064,131314,26,10,12,21,14,,,,,,,,,,,,,,,,,,,
CHRS,Physical Education,,Post-BA-Cert,GRADCERT,10178,131314,1,,6,4,4,,,,,,,,,,,,,,,,,,,
CHRS,Physical Education,Exercise Science,Master's,MS,00065,131314,5,6,5,3,10,,,,,,,,,,,,,,,,,,,
CHRS,Physical Education,Teaching Physical Education,Master's,MS,00065,131314,4,3,3,1,2,,,,,,,,,,,,,,,,,,,
CHRS,Physical Education,Total,Total,Total,Total,Total,36,19,26,29,30,,,,,,,,,,,,,,,,,,,
CHRS,Professional Counseling,,Post-MA-Cert,PM CERT,14631,422803,2,1,7,8,14,,,,,,,,,,,,,,,,,,,
CHRS,Professional Counseling,Total,Total,Total,Total,Total,2,1,7,8,14,,,,,,,,,,,,,,,,,,,
CHRS,Social Work,,Bachelors,BA,02556,440701,52,50,46,37,34,,,,,,,,,,,,,,,,,,,
CHRS,Social Work,Advanced Specialization-MSW,Master's,MSW,22267,511503,,,,,10,,,,,,,,,,,,,,,,,,,
CHRS,Social Work,Total,Total,Total,Total,Total,52,50,46,37,44,,,,,,,,,,,,,,,,,,,
CHRS,Total,Total,Total,Total,Total,Total,341,310,315,267,293,,,,,,,,,,,,,,,,,,,
SEST,Biochemistry,,Bachelors,BS,13670,260202,2,1,,1,,,,,,,,,,,,,,,,,,,,
SEST,Biochemistry,Biochemistry-Certified Track,Bachelors,BS,13670,260202,2,2,1,1,,,,,,,,,,,,,,,,,,,,
SEST,Biochemistry,Biochemistry-General Track,Bachelors,BS,13670,260202,1,,3,1,2,,,,,,,,,,,,,,,,,,,
SEST,Biochemistry,Total,Total,Total,Total,Total,5,3,4,3,2,,,,,,,,,,,,,,,,,,,
SEST,Biological Sciences,Ecology and Environmental Sci,Master's,MA,00083,260101,,,2,3,4,,,,,,,,,,,,,,,,,,,
SEST,Biological Sciences,General-Bio,Master's,MA,00083,260101,1,,1,1,,,,,,,,,,,,,,,,,,,,
SEST,Biological Sciences,General-Bio,Master's,MS,00083,260101,,,,,2,,,,,,,,,,,,,,,,,,,
SEST,Biological Sciences,Global Sustainability,Master's,MA,00083,260101,,2,1,,1,,,,,,,,,,,,,,,,,,,
SEST,Biological Sciences,Health Sciences,Master's,MS,00083,260101,4,3,4,1,4,,,,,,,,,,,,,,,,,,,
SEST,Biological Sciences,Wildlife and Conservation Bio,Master's,MS,00083,260101,,,,,1,,,,,,,,,,,,,,,,,,,
SEST,Biological Sciences,Total,Total,Total,Total,Total,5,5,8,5,12,,,,,,,,,,,,,,,,,,,
SEST,Biology,,Bachelors,BS,00082,260101,23,12,11,6,5,,,,,,,,,,,,,,,,,,,
SEST,Biology,,Bachelors,BS_Teach,00082,260101,4,4,1,1,,,,,,,,,,,,,,,,,,,,
SEST,Biology,,Post-BA-Cert,GRADCERT,10603,260101,2,,,,,,,,,,,,,,,,,,,,,,,
SEST,Biology,"Ecology, Biodiversity Evol",Bachelors,BS,00082,260101,7,2,3,5,3,,,,,,,,,,,,,,,,,,,
SEST,Biology,Environmental Science,Bachelors,BS,00082,260101,2,3,6,6,4,,,,,,,,,,,,,,,,,,,
SEST,Biology,General-Bio,Bachelors,BS,00082,260101,44,40,33,25,21,,,,,,,,,,,,,,,,,,,
SEST,Biology,Human Biology,Bachelors,BS,00082,260101,6,6,14,8,20,,,,,,,,,,,,,,,,,,,
SEST,Biology,Total,Total,Total,Total,Total,88,67,68,51,53,,,,,,,,,,,,,,,,,,,
SEST,Biomolecular Sciences,,Bachelors,BS,13445,260204,31,28,16,9,12,,,,,,,,,,,,,,,,,,,
SEST,Biomolecular Sciences,,Master's,MS,13446,260204,12,5,6,11,17,,,,,,,,,,,,,,,,,,,
SEST,Biomolecular Sciences,Biotechnology,Bachelors,BS,13445,260204,1,3,1,1,1,,,,,,,,,,,,,,,,,,,
SEST,Biomolecular Sciences,Gen: Biomolecular Sciences,Bachelors,BS,13445,260204,10,9,5,4,6,,,,,,,,,,,,,,,,,,,
SEST,Biomolecular Sciences,Total,Total,Total,Total,Total,54,45,28,25,36,,,,,,,,,,,,,,,,,,,
SEST,Chemistry,,Bachelors,BS,00090,400501,1,2,2,,,,,,,,,,,,,,,,,,,,,
SEST,Chemistry,,Bachelors,BS_Teach,00090,400501,,1,1,,1,,,,,,,,,,,,,,,,,,,
SEST,Chemistry,Chemistry-Certified Track,Bachelors,BS,00090,400501,1,3,,3,2,,,,,,,,,,,,,,,,,,,
SEST,Chemistry,Chemistry-General Track,Bachelors,BS,00090,400501,4,6,4,5,2,,,,,,,,,,,,,,,,,,,
SEST,Chemistry,Total,Total,Total,Total,Total,6,12,7,8,5,,,,,,,,,,,,,,,,,,,
SEST,Civil Engineering,,Bachelors,BS,15032,140801,15,14,13,16,16,,,,,,,,,,,,,,,,,,,
SEST,Civil Engineering,Total,Total,Total,Total,Total,15,14,13,16,16,,,,,,,,,,,,,,,,,,,
SEST,Computer Engineering Technology,,Bachelors,BS,13269,151201,27,18,17,4,11,,,,,,,,,,,,,,,,,,,
SEST,Computer Engineering Technology,Total,Total,Total,Total,Total,27,18,17,4,11,,,,,,,,,,,,,,,,,,,
SEST,Computer Information Technology,Computer Science,Master's,MS,06901,110103,8,7,3,6,5,,,,,,,,,,,,,,,,,,,
SEST,Computer Information Technology,Netwrkng Telecomm Technology,Master's,MS,06901,110103,3,3,2,4,5,,,,,,,,,,,,,,,,,,,
SEST,Computer Information Technology,Total,Total,Total,Total,Total,11,10,5,10,10,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,,Bachelors,BA,22357,110101,,,,,2,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,,Bachelors,BS,00043,110101,50,45,37,23,24,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,"CS-Honors, Cybersecurity",Bachelors,BS,00043,110101,8,3,5,8,5,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,"CS-Honors, General",Bachelors,BS,00043,110101,3,3,14,22,15,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,"CSC-Alternative, Cybersecurity",Bachelors,BS,00043,110101,5,3,8,8,11,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,"CSC-Alternative, General",Bachelors,BS,00043,110101,8,11,8,21,35,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,General (CS - BA),Bachelors,BA,22357,110101,,,,,1,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,General (CS-BS),Bachelors,BS,00043,110101,,,,,2,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,Software Engineering (CS-BA),Bachelors,BA,22357,110101,,,,,1,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,Software Engineering (CS-BS),Bachelors,BS,00043,110101,,,,,1,,,,,,,,,,,,,,,,,,,
SEST,Computer Science,Total,Total,Total,Total,Total,74,65,72,82,97,,,,,,,,,,,,,,,,,,,
SEST,Construction Management,,Bachelors,BS,10186,522001,54,41,55,45,36,,,,,,,,,,,,,,,,,,,
SEST,Construction Management,,Master's,MS,14421,522001,9,9,16,11,10,,,,,,,,,,,,,,,,,,,
SEST,Construction Management,,Post-BA-Cert,OCP,14628,522001,1,,3,2,3,,,,,,,,,,,,,,,,,,,
SEST,Construction Management,Total,Total,Total,Total,Total,64,50,74,58,49,,,,,,,,,,,,,,,,,,,
SEST,Cybersecurity,,Bachelors,BS,19464,111003,,,,2,2,,,,,,,,,,,,,,,,,,,
SEST,Cybersecurity,Cyber Defense,Bachelors,BS,19464,111003,1,5,9,6,9,,,,,,,,,,,,,,,,,,,
SEST,Cybersecurity,Cyber Operations,Bachelors,BS,19464,111003,,2,1,,2,,,,,,,,,,,,,,,,,,,
SEST,Cybersecurity,General (Cybersecurity),Bachelors,BS,19464,111003,,3,2,6,6,,,,,,,,,,,,,,,,,,,
SEST,Cybersecurity,Total,Total,Total,Total,Total,1,10,12,14,19,,,,,,,,,,,,,,,,,,,
SEST,Data Science,,Master's,MS,09328,303001,5,6,3,4,17,,,,,,,,,,,,,,,,,,,
SEST,Data Science,,Post-BA-Cert,OCP,09289,303001,7,8,4,7,13,,,,,,,,,,,,,,,,,,,
SEST,Data Science,Total,Total,Total,Total,Total,12,14,7,11,30,,,,,,,,,,,,,,,,,,,
SEST,Earth Science,,Bachelors,BS,00092,400601,,1,,1,,,,,,,,,,,,,,,,,,,,
SEST,Earth Science,Environmental Earth Science,Bachelors,BS,00092,400601,2,6,3,5,3,,,,,,,,,,,,,,,,,,,
SEST,Earth Science,Environmental Geology,Bachelors,BS,00092,400601,,,1,1,3,,,,,,,,,,,,,,,,,,,
SEST,Earth Science,General Earth Science,Bachelors,BS,00092,400601,1,2,1,,1,,,,,,,,,,,,,,,,,,,
SEST,Earth Science,Geology,Bachelors,BS,00092,400601,2,2,,1,2,,,,,,,,,,,,,,,,,,,
SEST,Earth Science,Planetary Geology,Bachelors,BS,00092,400601,1,1,,,,,,,,,,,,,,,,,,,,,,
SEST,Earth Science,Total,Total,Total,Total,Total,6,12,5,8,9,,,,,,,,,,,,,,,,,,,
SEST,Electrical Engineering,,Bachelors,BS,19943,141001,,,,,2,,,,,,,,,,,,,,,,,,,
SEST,Electrical Engineering,Total,Total,Total,Total,Total,,,,,2,,,,,,,,,,,,,,,,,,,
SEST,Electronics Technology,,Bachelors,BS,09933,150303,5,6,7,3,3,,,,,,,,,,,,,,,,,,,
SEST,Electronics Technology,Total,Total,Total,Total,Total,5,6,7,3,3,,,,,,,,,,,,,,,,,,,
SEST,Engineering Technology,Mechanical/Manufacturing,Master's,MS,09299,150000,1,,,,,,,,,,,,,,,,,,,,,,,
SEST,Engineering Technology,Total,Total,Total,Total,Total,1,,,,,,,,,,,,,,,,,,,,,,,
SEST,Environmental and Occupational Safety,,Post-BA-Cert,OCP,14629,512202,1,1,2,,4,,,,,,,,,,,,,,,,,,,
SEST,Environmental and Occupational Safety,Total,Total,Total,Total,Total,1,1,2,,4,,,,,,,,,,,,,,,,,,,
SEST,General Studies,,Bachelors,BGS,20405,240102,,4,16,17,13,,,,,,,,,,,,,,,,,,,
SEST,General Studies,Total,Total,Total,Total,Total,,4,16,17,13,,,,,,,,,,,,,,,,,,,
SEST,Graphics Technology,,Bachelors,BS,17362,110801,3,8,1,3,2,,,,,,,,,,,,,,,,,,,
SEST,Graphics Technology,Total,Total,Total,Total,Total,3,8,1,3,2,,,,,,,,,,,,,,,,,,,
SEST,Lean Manufact. and Six Sigma,,Post-BA-Cert,OCP,14630,150702,4,2,1,3,6,,,,,,,,,,,,,,,,,,,
SEST,Lean Manufact. and Six Sigma,Total,Total,Total,Total,Total,4,2,1,3,6,,,,,,,,,,,,,,,,,,,
SEST,Manufacturing Engineering Technology,,Bachelors,BS,02365,150613,12,12,16,6,14,,,,,,,,,,,,,,,,,,,
SEST,Manufacturing Engineering Technology,Total,Total,Total,Total,Total,12,12,16,6,14,,,,,,,,,,,,,,,,,,,
SEST,Manufacturing Management,,Bachelors,BS,18000,520205,16,12,21,11,12,,,,,,,,,,,,,,,,,,,
SEST,Manufacturing Management,Total,Total,Total,Total,Total,16,12,21,11,12,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,,Bachelors,BA,00084,270101,5,1,3,2,6,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,,Bachelors,BS_Teach,00084,270101,2,3,2,4,4,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,,Post-BA-Cert,GRADCERT,10606,270101,1,,1,1,1,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Actuarial Science,Bachelors,BA,00084,270101,10,7,4,6,4,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Actuarial Science,Master's,MA,00085,270101,3,,,,2,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Computer Science,Master's,MA,00085,270101,2,1,,,,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Elementary Mathematics Ed,Master's,MS,00085,270101,2,5,2,3,3,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,General,Bachelors,BA,00084,270101,3,4,2,6,6,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,General,Master's,MA,00085,270101,2,,1,1,,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Honors,Bachelors,BA,00084,270101,,,,,1,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Secondary Mathematics Ed,Master's,MS,00085,270101,3,,4,1,4,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Statistics,Bachelors,BA,00084,270101,3,4,2,2,2,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Statistics,Master's,MA,00085,270101,3,1,2,1,1,,,,,,,,,,,,,,,,,,,
SEST,Mathematics,Total,Total,Total,Total,Total,39,26,23,27,34,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering,,Bachelors,BS,14202,141901,3,9,9,7,9,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering,Aerospace,Bachelors,BS,14202,141901,5,7,7,4,3,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering,General,Bachelors,BS,14202,141901,36,40,33,11,31,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering,Manufacturing,Bachelors,BS,14202,141901,3,1,2,5,3,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering,"Mechanical Des, Mater & Mfg",Master's,MS,19967,141901,,,,1,3,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering,Total,Total,Total,Total,Total,47,57,51,28,49,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering Technology,,Bachelors,BS,02813,150805,26,20,18,21,29,,,,,,,,,,,,,,,,,,,
SEST,Mechanical Engineering Technology,Total,Total,Total,Total,Total,26,20,18,21,29,,,,,,,,,,,,,,,,,,,
SEST,Networking Information Technology,,Bachelors,BS,17364,111001,23,22,26,19,15,,,,,,,,,,,,,,,,,,,
SEST,Networking Information Technology,Total,Total,Total,Total,Total,23,22,26,19,15,,,,,,,,,,,,,,,,,,,
SEST,Physics,,Bachelors,BS,00094,400801,2,1,2,5,,,,,,,,,,,,,,,,,,,,
SEST,Physics,,Bachelors,BS_Teach,00094,400801,,,,1,1,,,,,,,,,,,,,,,,,,,
SEST,Physics,Engineering Physics,Bachelors,BS,00094,400801,,,,,2,,,,,,,,,,,,,,,,,,,
SEST,Physics,General-Physics,Bachelors,BS,00094,400801,5,2,5,2,5,,,,,,,,,,,,,,,,,,,
SEST,Physics,Total,Total,Total,Total,Total,7,3,7,8,8,,,,,,,,,,,,,,,,,,,
SEST,Pre-Health Studies,,Post-BA-Cert,OCP,10169,511199,,3,3,,1,,,,,,,,,,,,,,,,,,,
SEST,Pre-Health Studies,Total,Total,Total,Total,Total,,3,3,,1,,,,,,,,,,,,,,,,,,,
SEST,Robotics/Mechatronics Engineering Technology,,Bachelors,BS,16962,150405,8,11,8,10,5,,,,,,,,,,,,,,,,,,,
SEST,Robotics/Mechatronics Engineering Technology,Total,Total,Total,Total,Total,8,11,8,10,5,,,,,,,,,,,,,,,,,,,
SEST,Science Education,,Post-BA-Cert,GRADCERT,10176,131316,,1,,1,,,,,,,,,,,,,,,,,,,,
SEST,Science Education,Total,Total,Total,Total,Total,,1,,1,,,,,,,,,,,,,,,,,,,,
SEST,"Science, Technology, Engineering and Math Education",,Master's,MS,17396,131309,9,7,4,8,5,,,,,,,,,,,,,,,,,,,
SEST,"Science, Technology, Engineering and Math Education",Total,Total,Total,Total,Total,9,7,4,8,5,,,,,,,,,,,,,,,,,,,
SEST,Software Engineering,,Master's,MS,18966,140903,4,7,3,4,7,,,,,,,,,,,,,,,,,,,
SEST,Software Engineering,Total,Total,Total,Total,Total,4,7,3,4,7,,,,,,,,,,,,,,,,,,,
SEST,Supply Chain and Logistics,,Post-BA-Cert,OCP,14634,520203,6,5,4,1,7,,,,,,,,,,,,,,,,,,,
SEST,Supply Chain and Logistics,Total,Total,Total,Total,Total,6,5,4,1,7,,,,,,,,,,,,,,,,,,,
SEST,Supply Chain Logistics Management,,Master's,MS,19544,521301,4,8,13,6,12,,,,,,,,,,,,,,,,,,,
SEST,Supply Chain Logistics Management,,Master's,MS,19545,521301,5,,,,,,,,,,,,,,,,,,,,,,,
SEST,Supply Chain Logistics Management,Total,Total,Total,Total,Total,9,8,13,6,12,,,,,,,,,,,,,,,,,,,
SEST,Technology and Engineering Ed K-12,,Bachelors,BS_Teach,00058,131309,11,5,8,4,4,,,,,,,,,,,,,,,,,,,
SEST,Technology and Engineering Ed K-12,,Post-BA-Cert,GRADCERT,10185,131309,,,,,1,,,,,,,,,,,,,,,,,,,
SEST,Technology and Engineering Ed K-12,Total,Total,Total,Total,Total,11,5,8,4,5,,,,,,,,,,,,,,,,,,,
SEST,Technology Management,,Bachelors,BS,00071,150612,,6,18,13,12,,,,,,,,,,,,,,,,,,,
SEST,Technology Management,,Master's,MS,00040,151501,17,12,9,4,14,,,,,,,,,,,,,,,,,,,
SEST,Technology Management,Technology Management,Bachelors,BS,00071,150612,8,2,3,,,,,,,,,,,,,,,,,,,,,
SEST,Technology Management,Total,Total,Total,Total,Total,25,20,30,17,26,,,,,,,,,,,,,,,,,,,
SEST,Total,Total,Total,Total,Total,Total,624,565,582,492,608,,,,,,,,,,,,,,,,,,,
University Total,,,,,,Total," 2,559 "," 2,302 "," 2,461 "," 2,159 "," 2,319 ",,,,,,,,,,,,,,,,,,,
